Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
USA,603002.0,16061.0,25136.0,1496.0,38015.0,539851.0,12784.0,1822.0,76.0,3029979.0,9154.0,North America
Spain,172541.0,2442.0,18056.0,300.0,67504.0,86981.0,7371.0,3690.0,386.0,600000.0,12833.0,Europe
Italy,162488.0,2972.0,21067.0,602.0,37130.0,104291.0,3186.0,2687.0,348.0,1073689.0,17758.0,Europe
France,143303.0,6524.0,15729.0,762.0,28805.0,98769.0,6730.0,2195.0,241.0,333807.0,5114.0,Europe
Germany,131170.0,1098.0,3272.0,78.0,68200.0,59698.0,4288.0,1566.0,39.0,1317887.0,15730.0,Europe
UK,93873.0,5252.0,12107.0,778.0,0.0,81422.0,1559.0,1383.0,178.0,382650.0,5637.0,Europe
Iran,74877.0,1574.0,4683.0,98.0,48129.0,22065.0,3691.0,891.0,56.0,287359.0,3421.0,Asia
Turkey,65111.0,4062.0,1403.0,107.0,4799.0,58909.0,1809.0,772.0,17.0,443626.0,5260.0,Asia
Belgium,31119.0,530.0,4157.0,254.0,6868.0,20094.0,1223.0,2685.0,359.0,102151.0,8814.0,Europe
Netherlands,27419.0,868.0,2945.0,122.0,250.0,24224.0,1358.0,1600.0,172.0,134972.0,7877.0,Europe
Canada,26897.0,1217.0,898.0,118.0,8172.0,17827.0,557.0,713.0,24.0,437475.0,11591.0,North America
Switzerland,25936.0,248.0,1174.0,36.0,13700.0,11062.0,386.0,2997.0,136.0,199000.0,22993.0,Europe
Brazil,24169.0,739.0,1378.0,50.0,3046.0,19745.0,296.0,114.0,6.0,62985.0,296.0,South America
Russia,21102.0,2774.0,170.0,22.0,1694.0,19238.0,8.0,145.0,1.0,1400000.0,9593.0,Europe
Portugal,17448.0,514.0,567.0,32.0,347.0,16534.0,218.0,1711.0,56.0,182707.0,17918.0,Europe
Austria,14214.0,173.0,384.0,16.0,7633.0,6197.0,243.0,1578.0,43.0,151796.0,16854.0,Europe
Israel,11868.0,282.0,117.0,1.0,2000.0,9751.0,181.0,1371.0,14.0,117339.0,13557.0,Asia
Ireland,11479.0,832.0,406.0,41.0,25.0,11048.0,194.0,2325.0,82.0,90646.0,18358.0,Europe
Sweden,11445.0,497.0,1033.0,114.0,381.0,10031.0,915.0,1133.0,102.0,54700.0,5416.0,Europe
India,10941.0,488.0,368.0,10.0,1295.0,9278.0,0.0,8.0,0.3,206212.0,149.0,Asia
S. Korea,10564.0,27.0,222.0,5.0,7534.0,2808.0,55.0,206.0,4.0,527438.0,10288.0,Asia
Peru,9784.0,0.0,216.0,0.0,2642.0,6926.0,143.0,297.0,7.0,87116.0,2642.0,South America
Chile,7917.0,392.0,92.0,10.0,2646.0,5179.0,387.0,414.0,5.0,87794.0,4593.0,South America
Japan,7645.0,27.0,143.0,0.0,799.0,6703.0,135.0,60.0,1.0,78702.0,622.0,Asia
Ecuador,7603.0,74.0,355.0,0.0,597.0,6651.0,121.0,431.0,20.0,24553.0,1392.0,South America
Poland,7202.0,268.0,263.0,18.0,618.0,6321.0,160.0,190.0,7.0,148321.0,3919.0,Europe
Romania,6879.0,246.0,351.0,20.0,1051.0,5477.0,241.0,358.0,18.0,70097.0,3644.0,Europe
Norway,6623.0,20.0,139.0,5.0,32.0,6452.0,59.0,1222.0,26.0,128569.0,23716.0,Europe
Denmark,6511.0,193.0,299.0,14.0,2515.0,3697.0,100.0,1124.0,52.0,74210.0,12812.0,Europe
Australia,6400.0,41.0,61.0,0.0,3598.0,2741.0,80.0,251.0,2.0,366493.0,14372.0,Australia/Oceania
Czechia,6111.0,52.0,161.0,18.0,642.0,5308.0,428.0,571.0,15.0,131542.0,12283.0,Europe
Pakistan,5837.0,341.0,96.0,3.0,1378.0,4363.0,46.0,26.0,0.4,69928.0,317.0,Asia
Saudi Arabia,5369.0,435.0,73.0,8.0,889.0,4407.0,59.0,154.0,2.0,150000.0,4309.0,Asia
Philippines,5223.0,291.0,335.0,20.0,295.0,4593.0,1.0,48.0,3.0,38103.0,348.0,Asia
Mexico,5014.0,353.0,332.0,36.0,1964.0,2718.0,207.0,39.0,3.0,37395.0,290.0,North America
Malaysia,4987.0,170.0,82.0,5.0,2478.0,2427.0,60.0,154.0,3.0,84791.0,2620.0,Asia
Indonesia,4839.0,282.0,459.0,60.0,426.0,3954.0,0.0,18.0,2.0,31628.0,116.0,Asia
UAE,4521.0,0.0,25.0,0.0,852.0,3644.0,1.0,457.0,3.0,648195.0,65538.0,Asia
Serbia,4465.0,411.0,94.0,9.0,400.0,3971.0,131.0,511.0,11.0,23398.0,2678.0,Europe
Panama,3472.0,0.0,94.0,0.0,61.0,3317.0,106.0,805.0,22.0,15567.0,3608.0,North America
Qatar,3428.0,197.0,7.0,0.0,373.0,3048.0,37.0,1190.0,2.0,52622.0,18265.0,Asia
Ukraine,3372.0,270.0,98.0,5.0,119.0,3155.0,45.0,77.0,2.0,35153.0,804.0,Europe
Luxembourg,3292.0,0.0,69.0,0.0,500.0,2723.0,30.0,5259.0,110.0,29315.0,46831.0,Europe
Dominican Republic,3286.0,119.0,183.0,6.0,162.0,2941.0,143.0,303.0,17.0,9275.0,855.0,North America
Belarus,3281.0,362.0,33.0,4.0,203.0,3045.0,57.0,347.0,3.0,71875.0,7606.0,Europe
Singapore,3252.0,334.0,10.0,1.0,611.0,2631.0,29.0,556.0,2.0,72680.0,12423.0,Asia
Finland,3161.0,97.0,64.0,5.0,300.0,2797.0,74.0,571.0,12.0,47290.0,8535.0,Europe
Colombia,2852.0,0.0,112.0,0.0,319.0,2421.0,106.0,56.0,2.0,43053.0,846.0,South America
Thailand,2613.0,34.0,41.0,1.0,1405.0,1167.0,61.0,37.0,0.6,100498.0,1440.0,Asia
South Africa,2415.0,143.0,27.0,0.0,410.0,1978.0,7.0,41.0,0.5,87022.0,1467.0,Africa
